account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
MCGROB,178759.52,199.99,5696.25,0.0,8,-96.5,0.0,27840895.170000013,0.33334600973283773
ORNJOSLAP,177225.3,0.0,177.0,0.0,8,-100.0,0.0,28018120.470000014,0.3354679726301502
NEWTHO,172273.55,0.0,0.0,0.0,8,0.0,0.0,28190394.020000014,0.33753064698470514
CENJAN,171740.75,0.0,491.71000000000004,0.0,8,-100.0,0.0,28362134.770000014,0.3395869419914373
DUFROB,171149.38,0.0,0.0,0.0,9,0.0,0.0,28533284.150000013,0.34163615637706973
CHANHWA,170257.91999999998,9986.09,27342.13,552.94,8,-63.5,5.54,28703542.070000015,0.34367469708888454
CREJASTP,169443.66999999998,5265.889999999999,30296.26,5986.99,9,-82.6,113.69,28872985.740000017,0.3457034885815465
JUEDAV,166966.35,8531.94,17541.83,0.0,8,-51.4,0.0,29039952.09000002,0.34770261850148276
BERNIC,165810.28,0.0,0.0,0.0,9,0.0,0.0,29205762.37000002,0.3496879065058083
JANKEL,165126.97,0.0,0.0,0.0,8,0.0,0.0,29370889.34000002,0.3516650130683906
KORNAT,164796.98,0.0,1385.83,0.0,8,-100.0,0.0,29535686.32000002,0.35363816857806746
NUGBRI,162959.38999999998,0.0,0.0,0.0,8,0.0,0.0,29698645.71000002,0.3555893221625087
GOVMON,162247.5,3683.0,8779.25,115.0,6,-58.0,3.12,29860893.21000002,0.3575319521097098
WADAMY,161691.54,2041.98,9617.94,0.0,8,-78.8,0.0,30022584.75000002,0.35946792540860845
HOFSTE,161504.36,0.0,0.0,0.0,8,0.0,0.0,30184089.110000018,0.3614016575544939
GENPAT,160350.68,5450.62,25317.45,204.99,8,-78.5,3.76,30344439.790000018,0.36332157640083707
HANLAU,159406.91,0.0,0.0,0.0,8,0.0,0.0,30503846.700000018,0.36523019525263317
COOJAN,159040.41999999998,3063.87,8254.01,0.0,8,-62.9,0.0,30662887.12000002,0.3671344260278836
GAMBRI,158545.44,12992.11,19709.31,0.0,8,-34.1,0.0,30821432.56000002,0.36903273028364214
NISLIN,156542.84,15392.54,31813.55,1325.99,8,-51.6,8.61,30977975.40000002,0.37090705690811343
GENLAR,155209.95,0.0,0.0,0.0,8,0.0,0.0,31133185.35000002,0.37276542450683503
MARJOH,154532.0,339.48,0.0,0.0,9,0.0,0.0,31287717.35000002,0.3746156748404358
LIGMAR,153610.02,926.96,758.9200000000001,0.0,8,22.1,0.0,31441327.37000002,0.37645488607661604
WEYBRY,152768.63,0.0,0.0,0.0,8,0.0,0.0,31594096.00000002,0.37828402313962706
TOKNIC,152728.81,11329.71,55715.58,105.99,7,-79.7,0.94,31746824.810000017,0.38011268342780646
OBEGAR,151922.72,13783.58,27656.27,1539.89,7,-50.2,11.17,31898747.530000016,0.3819316921985564
RAOCHALITH,151870.49,0.0,0.0,0.0,7,0.0,0.0,32050618.020000014,0.3837500756064369
STOTER,150031.39,0.0,0.0,0.0,8,0.0,0.0,32200649.410000015,0.3855464390094737
BARKYR,149174.85,0.0,0.0,0.0,8,0.0,0.0,32349824.260000017,0.38733254684459745
BRZDANI,149111.01,1362.37,4907.14,0.0,8,-72.2,0.0,32498935.27000002,0.38911789030741445
WOOLOR,149076.17,0.0,5111.96,0.0,8,-100.0,0.0,32648011.44000002,0.39090281662218695
FRAJOH,148167.53,0.0,0.0,0.0,9,0.0,0.0,32796178.97000002,0.39267686356269954
ZUBTHO,147269.39,0.0,0.0,0.0,8,0.0,0.0,32943448.36000002,0.3944401568480817
PONANT,146651.13,1375.98,9044.9,0.0,8,-84.8,0.0,33090099.49000002,0.3961960475516604
KROJAM,145551.85,0.0,0.0,0.0,7,0.0,0.0,33235651.340000022,0.3979387763005195
WEIMAR,145120.82,0.0,0.0,0.0,7,0.0,0.0,33380772.160000023,0.39967634421925097
KOZJOH,144317.55000000002,0.0,0.0,0.0,8,0.0,0.0,33525089.710000023,0.40140429438511915
